screen_rank,seed_value,auc_mean,auc_min,auc_max,balanced_accuracy_mean,selected_seed_id,seed_group,chain,method_id,epochs,fold_count,split_seed,shuffle_seed
1,12906138414127427065,0.9639328063241107,0.8537549407114625,1.0,0.9515151515151515,S03,lucky,alpha,sceptr_sparsemax,50,5,913271,913271
2,777,0.9593214756258235,0.8458498023715415,1.0,0.956060606060606,S01,lucky,alpha,sceptr_sparsemax,50,5,913271,913271
3,2232016200,0.9588274044795784,0.8774703557312253,1.0,0.9598484848484847,S02,lucky,alpha,sceptr_sparsemax,50,5,913271,913271
4,8365301900047924020,0.8891843334531082,0.8471074380165289,0.9169960474308301,0.7979578392621871,,,alpha,sceptr_sparsemax,50,5,913271,913271
5,6902826956892357559,0.8722361959516111,0.8223140495867768,0.9734848484848485,0.7928524374176549,S04,moderate,alpha,sceptr_sparsemax,50,5,913271,913271
6,2712386035810402826,0.8283896275002995,0.6704545454545454,0.9128787878787878,0.7464426877470356,S05,moderate,alpha,sceptr_sparsemax,50,5,913271,913271
7,2817756917657900866,0.8160647981794227,0.7083333333333334,0.8966942148760331,0.7553359683794467,,,alpha,sceptr_sparsemax,50,5,913271,913271
8,4997398781942474363,0.776293568091987,0.6666666666666667,0.8760330578512396,0.7161725955204216,,,alpha,sceptr_sparsemax,50,5,913271,913271
9,14320595710489364965,0.7735477302670979,0.6098484848484849,0.859504132231405,0.6932147562582346,S06,moderate,alpha,sceptr_sparsemax,50,5,913271,913271
10,998227637,0.7724398131512757,0.5530303030303031,0.8787878787878789,0.6710474308300396,,,alpha,sceptr_sparsemax,50,5,913271,913271
11,7356450278138189263,0.7679692178704036,0.6521739130434783,0.8522727272727272,0.7012187088274044,,,alpha,sceptr_sparsemax,50,5,913271,913271
12,42117551,0.7671697209246616,0.6942148760330579,0.8484848484848485,0.6975955204216074,,,alpha,sceptr_sparsemax,50,5,913271,913271
13,17181066453683059828,0.764636483411187,0.6893939393939393,0.8674242424242424,0.7115942028985507,,,alpha,sceptr_sparsemax,50,5,913271,913271
14,8820725737197620772,0.7542879386752904,0.6798418972332015,0.8181818181818181,0.6733530961791832,,,alpha,sceptr_sparsemax,50,5,913271,913271
15,16049428977116228127,0.7540124565816265,0.6553030303030303,0.8257575757575757,0.6617918313570488,,,alpha,sceptr_sparsemax,50,5,913271,913271
16,13279623830156480565,0.7506348065636603,0.6704545454545454,0.8409090909090909,0.6525032938076416,,,alpha,sceptr_sparsemax,50,5,913271,913271
17,15424595020913622776,0.7477931488801054,0.34469696969696967,1.0,0.7174242424242424,,,alpha,sceptr_sparsemax,50,5,913271,913271
18,11270009076351344416,0.7464097496706192,0.6600790513833992,0.8181818181818182,0.6672924901185772,,,alpha,sceptr_sparsemax,50,5,913271,913271
19,16725955057896276280,0.743810636004312,0.7035573122529645,0.803030303030303,0.6648550724637682,,,alpha,sceptr_sparsemax,50,5,913271,913271
20,11717727444160402108,0.7373607617678763,0.6856060606060606,0.8257575757575757,0.6451251646903821,,,alpha,sceptr_sparsemax,50,5,913271,913271
21,15091009594639258239,0.7142052940471914,0.5871212121212122,0.7851239669421488,0.667292490118577,,,alpha,sceptr_sparsemax,50,5,913271,913271
22,11327508419378867602,0.7013384836507366,0.5227272727272727,0.9204545454545454,0.6769433465085639,S07,ordinary,alpha,sceptr_sparsemax,50,5,913271,913271
23,17832980835128415404,0.6826176787639239,0.5606060606060607,0.7765151515151515,0.6574769433465086,,,alpha,sceptr_sparsemax,50,5,913271,913271
24,10694063091131643398,0.6774643669900586,0.6628787878787878,0.712121212121212,0.6365942028985507,,,alpha,sceptr_sparsemax,50,5,913271,913271
25,275560732,0.6653221942747635,0.45849802371541504,0.7651515151515151,0.6203557312252965,,,alpha,sceptr_sparsemax,50,5,913271,913271
26,10762549616907469203,0.6291591807402084,0.48863636363636365,0.7851239669421488,0.597562582345191,S08,ordinary,alpha,sceptr_sparsemax,50,5,913271,913271
27,4496119368746308026,0.6278506407953048,0.5075757575757576,0.7424242424242423,0.6294466403162055,,,alpha,sceptr_sparsemax,50,5,913271,913271
28,12293968614973973933,0.5799437058330339,0.46212121212121215,0.731404958677686,0.5363965744400527,S09,ordinary,alpha,sceptr_sparsemax,50,5,913271,913271
