experiment_id,method_id,method_label,chain,split,seed_count,auc_median,auc_min,auc_max,balanced_accuracy_median
experiment_01_internal_baseline,aa_property_sparsemax,Amino-acid properties,alpha,internal_oof,3,0.5900900900900902,0.5855855855855855,0.5917986952469712,0.550869835352594
experiment_01_internal_baseline,aa_property_sparsemax,Amino-acid properties,beta,internal_oof,3,0.5691208449829139,0.427461944703324,0.6006523765144455,0.5139018328673501
experiment_01_internal_baseline,atchley_sparsemax,Atchley factors,alpha,internal_oof,3,0.5097856477166822,0.4757688723205964,0.6003417210313763,0.46722584653619137
experiment_01_internal_baseline,atchley_sparsemax,Atchley factors,beta,internal_oof,3,0.5264057160608885,0.46831314072693386,0.5677228953091021,0.47763280521901214
experiment_01_internal_baseline,kidera_sparsemax,Kidera factors,alpha,internal_oof,3,0.5987884436160298,0.5573159366262814,0.7014600807704255,0.501941596769183
experiment_01_internal_baseline,kidera_sparsemax,Kidera factors,beta,internal_oof,3,0.5114942528735633,0.4502951227089158,0.6495806150978565,0.4958838148493321
experiment_01_internal_baseline,random_sparsemax,Random descriptor control,alpha,internal_oof,3,0.5740913327120224,0.40757999378689036,0.593973283628456,0.4893600497048773
experiment_01_internal_baseline,random_sparsemax,Random descriptor control,beta,internal_oof,3,0.449363156259708,0.3531376203789997,0.6244175209692451,0.44097545821683753
experiment_01_internal_baseline,sceptr_sparsemax,SCEPTR,alpha,internal_oof,3,0.836439888164026,0.5739360049704877,0.9453246349798075,0.7502329916123021
experiment_01_internal_baseline,sceptr_sparsemax,SCEPTR,beta,internal_oof,3,0.6272134203168687,0.5479962721342032,0.7693383038210625,0.6174277726001864
