attention_seed_id,attention_seed_value,attention_seed_group,classifier_seed_id,classifier_seed_value,classifier_seed_group,split,n,auc,balanced_accuracy,sensitivity,specificity
S03,12906138414127427065,lucky,S03,12906138414127427065,lucky,internal_oof,169,0.9555762659210935,0.9523920472196334,0.9137931034482759,0.990990990990991
S03,12906138414127427065,lucky,S04,6902826956892357559,moderate,internal_oof,169,0.9451693072382729,0.9568965517241379,0.9137931034482759,1.0
S03,12906138414127427065,lucky,S06,14320595710489364965,moderate,internal_oof,169,0.7948120534327431,0.7239826032929482,0.6551724137931034,0.7927927927927928
S03,12906138414127427065,lucky,S08,10762549616907469203,ordinary,internal_oof,169,0.8417210313762038,0.7937247592420006,0.7586206896551724,0.8288288288288288
S03,12906138414127427065,lucky,S09,12293968614973973933,ordinary,internal_oof,169,0.8128300714507612,0.710080770425598,0.6724137931034483,0.7477477477477478
S04,6902826956892357559,moderate,S03,12906138414127427065,lucky,internal_oof,169,0.690121155638397,0.6189810500155328,0.5172413793103449,0.7207207207207207
S04,6902826956892357559,moderate,S04,6902826956892357559,moderate,internal_oof,169,0.8712333022677851,0.7937247592420006,0.7586206896551724,0.8288288288288288
S04,6902826956892357559,moderate,S06,14320595710489364965,moderate,internal_oof,169,0.712022367194781,0.684995340167754,0.5862068965517241,0.7837837837837838
S04,6902826956892357559,moderate,S08,10762549616907469203,ordinary,internal_oof,169,0.7741534638086361,0.7292637465051258,0.6206896551724138,0.8378378378378378
S04,6902826956892357559,moderate,S09,12293968614973973933,ordinary,internal_oof,169,0.7496116806461633,0.710080770425598,0.6724137931034483,0.7477477477477478
S06,14320595710489364965,moderate,S03,12906138414127427065,lucky,internal_oof,169,0.8283628456042249,0.7625815470643057,0.7413793103448276,0.7837837837837838
S06,14320595710489364965,moderate,S04,6902826956892357559,moderate,internal_oof,169,0.8209071140105623,0.789220254737496,0.7586206896551724,0.8198198198198198
S06,14320595710489364965,moderate,S06,14320595710489364965,moderate,internal_oof,169,0.7764833799316558,0.6940043491767629,0.5862068965517241,0.8018018018018018
S06,14320595710489364965,moderate,S08,10762549616907469203,ordinary,internal_oof,169,0.8140726933830382,0.712022367194781,0.5862068965517241,0.8378378378378378
S06,14320595710489364965,moderate,S09,12293968614973973933,ordinary,internal_oof,169,0.7980739360049706,0.7235942839391115,0.6724137931034483,0.7747747747747747
S08,10762549616907469203,ordinary,S03,12906138414127427065,lucky,internal_oof,169,0.6258154706430569,0.5807704255980118,0.41379310344827586,0.7477477477477478
S08,10762549616907469203,ordinary,S04,6902826956892357559,moderate,internal_oof,169,0.9406648027337682,0.9523920472196334,0.9137931034482759,0.990990990990991
S08,10762549616907469203,ordinary,S06,14320595710489364965,moderate,internal_oof,169,0.712022367194781,0.701071761416589,0.6724137931034483,0.7297297297297297
S08,10762549616907469203,ordinary,S08,10762549616907469203,ordinary,internal_oof,169,0.6234855545200373,0.5972351662006834,0.4827586206896552,0.7117117117117117
S08,10762549616907469203,ordinary,S09,12293968614973973933,ordinary,internal_oof,169,0.6598322460391426,0.6793258776017397,0.6379310344827587,0.7207207207207207
S09,12293968614973973933,ordinary,S03,12906138414127427065,lucky,internal_oof,169,0.9102205653929791,0.8342652997825412,0.7586206896551724,0.9099099099099099
S09,12293968614973973933,ordinary,S04,6902826956892357559,moderate,internal_oof,169,0.881950916433675,0.8158589624106866,0.7758620689655172,0.8558558558558559
S09,12293968614973973933,ordinary,S06,14320595710489364965,moderate,internal_oof,169,0.8856787822305062,0.8166356011183598,0.7413793103448276,0.8918918918918919
S09,12293968614973973933,ordinary,S08,10762549616907469203,ordinary,internal_oof,169,0.8940664802733768,0.824479652065859,0.7931034482758621,0.8558558558558559
S09,12293968614973973933,ordinary,S09,12293968614973973933,ordinary,internal_oof,169,0.5899347623485555,0.5372786579683131,0.3448275862068966,0.7297297297297297
