experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc,balanced_accuracy,sensitivity,specificity
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S03:S03,12906138414127427065|12906138414127427065,lucky,internal_oof,169,0.9555762659210935,0.9523920472196334,0.9137931034482759,0.990990990990991
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S03:S04,12906138414127427065|6902826956892357559,lucky,internal_oof,169,0.9451693072382729,0.9568965517241379,0.9137931034482759,1.0
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S03:S06,12906138414127427065|14320595710489364965,lucky,internal_oof,169,0.7948120534327431,0.7239826032929482,0.6551724137931034,0.7927927927927928
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S03:S08,12906138414127427065|10762549616907469203,lucky,internal_oof,169,0.8417210313762038,0.7937247592420006,0.7586206896551724,0.8288288288288288
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S03:S09,12906138414127427065|12293968614973973933,lucky,internal_oof,169,0.8128300714507612,0.710080770425598,0.6724137931034483,0.7477477477477478
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S04:S03,6902826956892357559|12906138414127427065,moderate,internal_oof,169,0.690121155638397,0.6189810500155328,0.5172413793103449,0.7207207207207207
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S04:S04,6902826956892357559|6902826956892357559,moderate,internal_oof,169,0.8712333022677851,0.7937247592420006,0.7586206896551724,0.8288288288288288
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S04:S06,6902826956892357559|14320595710489364965,moderate,internal_oof,169,0.712022367194781,0.684995340167754,0.5862068965517241,0.7837837837837838
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S04:S08,6902826956892357559|10762549616907469203,moderate,internal_oof,169,0.7741534638086361,0.7292637465051258,0.6206896551724138,0.8378378378378378
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S04:S09,6902826956892357559|12293968614973973933,moderate,internal_oof,169,0.7496116806461633,0.710080770425598,0.6724137931034483,0.7477477477477478
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S06:S03,14320595710489364965|12906138414127427065,moderate,internal_oof,169,0.8283628456042249,0.7625815470643057,0.7413793103448276,0.7837837837837838
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S06:S04,14320595710489364965|6902826956892357559,moderate,internal_oof,169,0.8209071140105623,0.789220254737496,0.7586206896551724,0.8198198198198198
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S06:S06,14320595710489364965|14320595710489364965,moderate,internal_oof,169,0.7764833799316558,0.6940043491767629,0.5862068965517241,0.8018018018018018
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S06:S08,14320595710489364965|10762549616907469203,moderate,internal_oof,169,0.8140726933830382,0.712022367194781,0.5862068965517241,0.8378378378378378
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S06:S09,14320595710489364965|12293968614973973933,moderate,internal_oof,169,0.7980739360049706,0.7235942839391115,0.6724137931034483,0.7747747747747747
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S08:S03,10762549616907469203|12906138414127427065,ordinary,internal_oof,169,0.6258154706430569,0.5807704255980118,0.41379310344827586,0.7477477477477478
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S08:S04,10762549616907469203|6902826956892357559,ordinary,internal_oof,169,0.9406648027337682,0.9523920472196334,0.9137931034482759,0.990990990990991
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S08:S06,10762549616907469203|14320595710489364965,ordinary,internal_oof,169,0.712022367194781,0.701071761416589,0.6724137931034483,0.7297297297297297
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S08:S08,10762549616907469203|10762549616907469203,ordinary,internal_oof,169,0.6234855545200373,0.5972351662006834,0.4827586206896552,0.7117117117117117
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S08:S09,10762549616907469203|12293968614973973933,ordinary,internal_oof,169,0.6598322460391426,0.6793258776017397,0.6379310344827587,0.7207207207207207
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S09:S03,12293968614973973933|12906138414127427065,ordinary,internal_oof,169,0.9102205653929791,0.8342652997825412,0.7586206896551724,0.9099099099099099
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S09:S04,12293968614973973933|6902826956892357559,ordinary,internal_oof,169,0.881950916433675,0.8158589624106866,0.7758620689655172,0.8558558558558559
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S09:S06,12293968614973973933|14320595710489364965,ordinary,internal_oof,169,0.8856787822305062,0.8166356011183598,0.7413793103448276,0.8918918918918919
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S09:S08,12293968614973973933|10762549616907469203,ordinary,internal_oof,169,0.8940664802733768,0.824479652065859,0.7931034482758621,0.8558558558558559
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S09:S09,12293968614973973933|12293968614973973933,ordinary,internal_oof,169,0.5899347623485555,0.5372786579683131,0.3448275862068966,0.7297297297297297
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S01,777,lucky,internal_oof,169,0.9721963342652997,0.8724759242000621,0.8620689655172413,0.8828828828828829
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S02,2232016200,lucky,internal_oof,169,0.972972972972973,0.8732525629077353,0.8275862068965517,0.918918918918919
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.980273376825101,0.8953867660764212,0.8448275862068966,0.9459459459459459
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.9735942839391115,0.8957750854302579,0.8275862068965517,0.963963963963964
