experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc,balanced_accuracy,sensitivity,specificity
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S01,777,lucky,internal_oof,169,0.9721963342652997,0.8724759242000621,0.8620689655172413,0.8828828828828829
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S02,2232016200,lucky,internal_oof,169,0.972972972972973,0.8732525629077353,0.8275862068965517,0.918918918918919
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.980273376825101,0.8953867660764212,0.8448275862068966,0.9459459459459459
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.9735942839391115,0.8957750854302579,0.8275862068965517,0.963963963963964
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.9791860826343585,0.9253650201926065,0.9137931034482759,0.9369369369369369
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.9791860826343586,0.8953867660764212,0.8448275862068966,0.9459459459459459
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.9734389561975769,0.8691363777570673,0.8103448275862069,0.9279279279279279
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.9684684684684686,0.8732525629077353,0.8275862068965517,0.918918918918919
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.9675365020192607,0.8646318732525629,0.8103448275862069,0.918918918918919
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S01,777,lucky,internal_oof,169,0.9310344827586207,0.8703013358185772,0.7586206896551724,0.9819819819819819
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S02,2232016200,lucky,internal_oof,169,0.925753339546443,0.8560111835973905,0.7931034482758621,0.918918918918919
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S03,12906138414127427065,lucky,internal_oof,169,0.9560422491456975,0.8687480584032308,0.8275862068965517,0.9099099099099099
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S04,6902826956892357559,moderate,internal_oof,169,0.9293258776017397,0.8830382106244176,0.7931034482758621,0.972972972972973
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S05,2712386035810402826,moderate,internal_oof,169,0.9405094749922336,0.8953867660764212,0.8448275862068966,0.9459459459459459
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S06,14320595710489364965,moderate,internal_oof,169,0.9307238272755515,0.8826498912705809,0.8103448275862069,0.954954954954955
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.9251320285803044,0.8571761416589003,0.7413793103448276,0.972972972972973
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.9346070208139174,0.8695246971109041,0.7931034482758621,0.9459459459459459
experiment_03_external_generalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S09,12293968614973973933,ordinary,internal_oof,169,0.9521590556073315,0.8720876048462256,0.8793103448275862,0.8648648648648649
experiment_03_external_generalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S01,777,lucky,internal_oof,169,0.9574401988195093,0.9655172413793103,0.9310344827586207,1.0
experiment_03_external_generalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S02,2232016200,lucky,internal_oof,169,0.9597701149425287,0.9568965517241379,0.9137931034482759,1.0
experiment_03_external_generalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.91627834731283,0.833488661074868,0.7931034482758621,0.8738738738738738
experiment_03_external_generalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.9694004349176762,0.9523920472196334,0.9137931034482759,0.990990990990991
experiment_03_external_generalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.8428083255669463,0.797452625038832,0.7931034482758621,0.8018018018018018
