experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc,balanced_accuracy,sensitivity,specificity
experiment_04_alice_model,sceptr_l1,SCEPTR + ALICE L1,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.7241379310344828,0.6879465672569121,0.6551724137931034,0.7207207207207207
experiment_04_alice_model,sceptr_l1,SCEPTR + ALICE L1,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.7207983845914878,0.7051879465672569,0.6896551724137931,0.7207207207207207
experiment_04_alice_model,sceptr_l1,SCEPTR + ALICE L1,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.7214973594283939,0.6887232059645854,0.6206896551724138,0.7567567567567568
experiment_04_alice_model,sceptr_l2,SCEPTR + ALICE L2,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.797918608263436,0.6936160298229264,0.603448275862069,0.7837837837837838
experiment_04_alice_model,sceptr_l2,SCEPTR + ALICE L2,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.8005591798695249,0.7194780987884436,0.6551724137931034,0.7837837837837838
experiment_04_alice_model,sceptr_l2,SCEPTR + ALICE L2,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.7945013979496738,0.7112457284871079,0.6206896551724138,0.8018018018018018
experiment_04_alice_model,atchley_l1,Atchley factors + ALICE L1,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.6369990680335509,0.5427151289220254,0.10344827586206896,0.9819819819819819
experiment_04_alice_model,atchley_l1,Atchley factors + ALICE L1,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.6376203789996894,0.5513358185771978,0.1206896551724138,0.9819819819819819
experiment_04_alice_model,atchley_l1,Atchley factors + ALICE L1,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.6213109661385523,0.5427151289220254,0.10344827586206896,0.9819819819819819
experiment_04_alice_model,atchley_l2,Atchley factors + ALICE L2,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.49005902454178313,0.4704100652376515,0.9137931034482759,0.02702702702702703
experiment_04_alice_model,atchley_l2,Atchley factors + ALICE L2,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.5212799005902453,0.49899036968002486,0.8448275862068966,0.15315315315315314
experiment_04_alice_model,atchley_l2,Atchley factors + ALICE L2,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.46349798073936,0.4412084498291395,0.8103448275862069,0.07207207207207207
experiment_04_alice_model,kidera_l1,Kidera factors + ALICE L1,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.5750232991612302,0.5427151289220254,0.10344827586206896,0.9819819819819819
experiment_04_alice_model,kidera_l1,Kidera factors + ALICE L1,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.5568499534016775,0.5082323703013358,0.034482758620689655,0.9819819819819819
experiment_04_alice_model,kidera_l1,Kidera factors + ALICE L1,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.630009319664492,0.538210624417521,0.10344827586206896,0.972972972972973
experiment_04_alice_model,kidera_l2,Kidera factors + ALICE L2,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.4779434607020814,0.4592264678471575,0.8103448275862069,0.10810810810810811
experiment_04_alice_model,kidera_l2,Kidera factors + ALICE L2,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.4863311587449518,0.48306927617272444,0.5517241379310345,0.4144144144144144
experiment_04_alice_model,kidera_l2,Kidera factors + ALICE L2,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.5293569431500467,0.490757999378689,0.8103448275862069,0.17117117117117117
experiment_04_alice_model,aa_property_l1,Amino-acid properties + ALICE L1,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.5366573470021746,0.5427151289220254,0.10344827586206896,0.9819819819819819
experiment_04_alice_model,aa_property_l1,Amino-acid properties + ALICE L1,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.6194470332401367,0.538210624417521,0.10344827586206896,0.972972972972973
experiment_04_alice_model,aa_property_l1,Amino-acid properties + ALICE L1,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.5548306927617271,0.4996116806461634,0.017241379310344827,0.9819819819819819
experiment_04_alice_model,aa_property_l2,Amino-acid properties + ALICE L2,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.44625660142901524,0.44058713886300094,0.6379310344827587,0.24324324324324326
experiment_04_alice_model,aa_property_l2,Amino-acid properties + ALICE L2,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.536036036036036,0.476623174899037,0.6379310344827587,0.3153153153153153
experiment_04_alice_model,aa_property_l2,Amino-acid properties + ALICE L2,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.4412861136999068,0.4395775085430258,0.4827586206896552,0.3963963963963964
experiment_04_alice_model,sceptr_l1,SCEPTR + ALICE L1,alpha,S03,12906138414127427065,lucky,locked_external,109,0.8329528158295282,0.7709284627092846,0.5555555555555556,0.9863013698630136
experiment_04_alice_model,sceptr_l1,SCEPTR + ALICE L1,alpha,S06,14320595710489364965,moderate,locked_external,109,0.8203957382039574,0.785007610350076,0.6111111111111112,0.958904109589041
experiment_04_alice_model,sceptr_l1,SCEPTR + ALICE L1,alpha,S09,12293968614973973933,ordinary,locked_external,109,0.8226788432267884,0.7709284627092846,0.5555555555555556,0.9863013698630136
experiment_04_alice_model,sceptr_l2,SCEPTR + ALICE L2,alpha,S03,12906138414127427065,lucky,locked_external,109,0.9684170471841705,0.7916666666666667,0.5833333333333334,1.0
experiment_04_alice_model,sceptr_l2,SCEPTR + ALICE L2,alpha,S06,14320595710489364965,moderate,locked_external,109,0.9554794520547946,0.7848173515981736,0.5833333333333334,0.9863013698630136
experiment_04_alice_model,sceptr_l2,SCEPTR + ALICE L2,alpha,S09,12293968614973973933,ordinary,locked_external,109,0.9596651445966514,0.7848173515981736,0.5833333333333334,0.9863013698630136
experiment_04_alice_model,atchley_l1,Atchley factors + ALICE L1,alpha,S03,12906138414127427065,lucky,locked_external,109,0.7899543378995434,0.5972222222222222,0.19444444444444445,1.0
experiment_04_alice_model,atchley_l1,Atchley factors + ALICE L1,alpha,S06,14320595710489364965,moderate,locked_external,109,0.795662100456621,0.625,0.25,1.0
experiment_04_alice_model,atchley_l1,Atchley factors + ALICE L1,alpha,S09,12293968614973973933,ordinary,locked_external,109,0.7100456621004566,0.5972222222222222,0.19444444444444445,1.0
experiment_04_alice_model,atchley_l2,Atchley factors + ALICE L2,alpha,S03,12906138414127427065,lucky,locked_external,109,0.5483257229832572,0.5135083713850837,0.9722222222222222,0.0547945205479452
experiment_04_alice_model,atchley_l2,Atchley factors + ALICE L2,alpha,S06,14320595710489364965,moderate,locked_external,109,0.19901065449010658,0.3470319634703196,0.6666666666666666,0.0273972602739726
experiment_04_alice_model,atchley_l2,Atchley factors + ALICE L2,alpha,S09,12293968614973973933,ordinary,locked_external,109,0.5235920852359208,0.4992389649923896,0.8888888888888888,0.1095890410958904
experiment_04_alice_model,kidera_l1,Kidera factors + ALICE L1,alpha,S03,12906138414127427065,lucky,locked_external,109,0.723744292237443,0.5972222222222222,0.19444444444444445,1.0
experiment_04_alice_model,kidera_l1,Kidera factors + ALICE L1,alpha,S06,14320595710489364965,moderate,locked_external,109,0.636986301369863,0.5972222222222222,0.19444444444444445,1.0
experiment_04_alice_model,kidera_l1,Kidera factors + ALICE L1,alpha,S09,12293968614973973933,ordinary,locked_external,109,0.7682648401826484,0.5972222222222222,0.19444444444444445,1.0
experiment_04_alice_model,kidera_l2,Kidera factors + ALICE L2,alpha,S03,12906138414127427065,lucky,locked_external,109,0.4657534246575343,0.55441400304414,0.9444444444444444,0.1643835616438356
experiment_04_alice_model,kidera_l2,Kidera factors + ALICE L2,alpha,S06,14320595710489364965,moderate,locked_external,109,0.12861491628614918,0.19425418569254185,0.3611111111111111,0.0273972602739726
experiment_04_alice_model,kidera_l2,Kidera factors + ALICE L2,alpha,S09,12293968614973973933,ordinary,locked_external,109,0.5601217656012176,0.58162100456621,0.9166666666666666,0.2465753424657534
experiment_04_alice_model,aa_property_l1,Amino-acid properties + ALICE L1,alpha,S03,12906138414127427065,lucky,locked_external,109,0.56544901065449,0.6111111111111112,0.2222222222222222,1.0
experiment_04_alice_model,aa_property_l1,Amino-acid properties + ALICE L1,alpha,S06,14320595710489364965,moderate,locked_external,109,0.7172754946727549,0.5972222222222222,0.19444444444444445,1.0
experiment_04_alice_model,aa_property_l1,Amino-acid properties + ALICE L1,alpha,S09,12293968614973973933,ordinary,locked_external,109,0.6027397260273972,0.5138888888888888,0.027777777777777776,1.0
experiment_04_alice_model,aa_property_l2,Amino-acid properties + ALICE L2,alpha,S03,12906138414127427065,lucky,locked_external,109,0.17389649923896502,0.2775875190258752,0.5277777777777778,0.0273972602739726
experiment_04_alice_model,aa_property_l2,Amino-acid properties + ALICE L2,alpha,S06,14320595710489364965,moderate,locked_external,109,0.32876712328767127,0.3599695585996956,0.5555555555555556,0.1643835616438356
experiment_04_alice_model,aa_property_l2,Amino-acid properties + ALICE L2,alpha,S09,12293968614973973933,ordinary,locked_external,109,0.1689497716894977,0.24277016742770166,0.4444444444444444,0.0410958904109589
