experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc,balanced_accuracy,sensitivity,specificity
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S01,777,lucky,internal_oof,169,0.7157502329916124,0.7055762659210936,0.6724137931034483,0.7387387387387387
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S02,2232016200,lucky,internal_oof,169,0.7233612923268096,0.7104690897794346,0.6551724137931034,0.7657657657657657
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S10,8365301900047924020,lucky,internal_oof,169,0.726157191674433,0.6894998446722584,0.5862068965517241,0.7927927927927928
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.7202547374961168,0.6928393911152533,0.6379310344827587,0.7477477477477478
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.7211867039453247,0.70712954333644,0.603448275862069,0.8108108108108109
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S11,2817756917657900866,moderate,internal_oof,169,0.7174588381484933,0.6879465672569121,0.6551724137931034,0.7207207207207207
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.7218080149114631,0.6883348866107487,0.6379310344827587,0.7387387387387387
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.7166821994408201,0.6928393911152533,0.6379310344827587,0.7477477477477478
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S12,10694063091131643398,ordinary,internal_oof,169,0.723205964585275,0.7063529046287667,0.6379310344827587,0.7747747747747747
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,S13,4496119368746308026,ordinary,internal_oof,169,0.7242932587760174,0.7026250388319354,0.603448275862069,0.8018018018018018
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S01,777,lucky,internal_oof,169,0.6533861447654551,0.6289996893445169,0.6724137931034483,0.5855855855855856
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S02,2232016200,lucky,internal_oof,169,0.6453091022056541,0.6342808325566947,0.6379310344827587,0.6306306306306306
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S10,8365301900047924020,lucky,internal_oof,169,0.6470177073625349,0.6080304442373408,0.603448275862069,0.6126126126126126
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S04,6902826956892357559,moderate,internal_oof,169,0.6557160608884747,0.61587449518484,0.6551724137931034,0.5765765765765766
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S05,2712386035810402826,moderate,internal_oof,169,0.6515222118670394,0.6309412861136998,0.5862068965517241,0.6756756756756757
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S11,2817756917657900866,moderate,internal_oof,169,0.6417365641503572,0.6121466293880087,0.6206896551724138,0.6036036036036037
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.6428238583410997,0.6105933519726623,0.6896551724137931,0.5315315315315315
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.6510562286424355,0.6166511338925131,0.6206896551724138,0.6126126126126126
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S12,10694063091131643398,ordinary,internal_oof,169,0.6445324634979808,0.5990214352283318,0.603448275862069,0.5945945945945946
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,S13,4496119368746308026,ordinary,internal_oof,169,0.6521435228331781,0.6436781609195402,0.6206896551724138,0.6666666666666666
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S01,777,lucky,internal_oof,169,0.7494563529046289,0.7153619136377758,0.6379310344827587,0.7927927927927928
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S02,2232016200,lucky,internal_oof,169,0.7522522522522522,0.7153619136377758,0.6379310344827587,0.7927927927927928
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S10,8365301900047924020,lucky,internal_oof,169,0.748058403230817,0.7153619136377758,0.6379310344827587,0.7927927927927928
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.7454178316247282,0.7112457284871079,0.6206896551724138,0.8018018018018018
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.7443305374339857,0.7067412239826033,0.6206896551724138,0.7927927927927928
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S11,2817756917657900866,moderate,internal_oof,169,0.748524386455421,0.7153619136377758,0.6379310344827587,0.7927927927927928
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.7516309412861136,0.7153619136377758,0.6379310344827587,0.7927927927927928
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.7489903696800247,0.7198664181422803,0.6379310344827587,0.8018018018018018
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S12,10694063091131643398,ordinary,internal_oof,169,0.7477477477477478,0.7067412239826033,0.6206896551724138,0.7927927927927928
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,S13,4496119368746308026,ordinary,internal_oof,169,0.7516309412861136,0.7112457284871079,0.6206896551724138,0.8018018018018018
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S01,777,lucky,internal_oof,169,0.6378533706119913,0.5829450139794967,0.5172413793103449,0.6486486486486487
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S02,2232016200,lucky,internal_oof,169,0.6363000931966449,0.5874495184840013,0.5172413793103449,0.6576576576576577
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S10,8365301900047924020,lucky,internal_oof,169,0.6406492699596147,0.5874495184840013,0.5172413793103449,0.6576576576576577
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S04,6902826956892357559,moderate,internal_oof,169,0.6390959925442684,0.5874495184840013,0.5172413793103449,0.6576576576576577
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S05,2712386035810402826,moderate,internal_oof,169,0.6387853370611991,0.5829450139794967,0.5172413793103449,0.6486486486486487
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S11,2817756917657900866,moderate,internal_oof,169,0.6387853370611991,0.5915657036346691,0.5344827586206896,0.6486486486486487
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.6386300093196646,0.5874495184840013,0.5172413793103449,0.6576576576576577
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.6369214041627834,0.5874495184840013,0.5172413793103449,0.6576576576576577
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S12,10694063091131643398,ordinary,internal_oof,169,0.6423578751164958,0.5874495184840013,0.5172413793103449,0.6576576576576577
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,S13,4496119368746308026,ordinary,internal_oof,169,0.638008698353526,0.5874495184840013,0.5172413793103449,0.6576576576576577
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S01,777,lucky,internal_oof,169,0.795278036657347,0.7145852749301025,0.6724137931034483,0.7567567567567568
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S02,2232016200,lucky,internal_oof,169,0.793569431500466,0.7202547374961168,0.6206896551724138,0.8198198198198198
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S10,8365301900047924020,lucky,internal_oof,169,0.7977632805219012,0.7116340478409444,0.603448275862069,0.8198198198198198
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.7965206585896242,0.7104690897794346,0.6551724137931034,0.7657657657657657
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.8044423734078906,0.7157502329916123,0.6206896551724138,0.8108108108108109
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S11,2817756917657900866,moderate,internal_oof,169,0.7878223050636843,0.6763746505125816,0.5689655172413793,0.7837837837837838
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.7865796831314072,0.6981205343274308,0.603448275862069,0.7927927927927928
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.7881329605467536,0.712022367194781,0.5862068965517241,0.8378378378378378
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S12,10694063091131643398,ordinary,internal_oof,169,0.7848710779745263,0.6936160298229264,0.603448275862069,0.7837837837837838
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,S13,4496119368746308026,ordinary,internal_oof,169,0.795278036657347,0.6767629698664182,0.5517241379310345,0.8018018018018018
experiment_04_alice_model,alice_l2_linear,L2 + Linear,beta,S01,777,lucky,internal_oof,169,0.6695402298850575,0.6140882261571916,0.5344827586206896,0.6936936936936937
