experiment_id,method_id,method_label,chain,split,seed_count,auc_median,auc_q1,auc_q3,balanced_accuracy_median
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,internal_oof,10,0.7214973594283939,0.7181578129853992,0.7233224603914259,0.6977322149735943
experiment_04_alice_model,alice_l1_linear,L1 + Linear,alpha,locked_external,10,0.8213470319634704,0.818683409436834,0.8245814307458142,0.781392694063927
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,internal_oof,10,0.6490369680024852,0.6447266231748991,0.6519881950916434,0.6162628145386766
experiment_04_alice_model,alice_l1_linear,L1 + Linear,beta,locked_external,10,0.6597222222222222,0.6527777777777779,0.6695758258258258,0.5932807807807807
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,internal_oof,10,0.7487573780677228,0.747825411618515,0.7510872941907425,0.7153619136377758
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,alpha,locked_external,10,0.8812785388127853,0.8801369863013698,0.8816590563165906,0.7987062404870624
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,internal_oof,10,0.6387076731904319,0.637892202547375,0.6390183286735011,0.5874495184840013
experiment_04_alice_model,alice_l1_mlp,L1 + MLP,beta,locked_external,10,0.6148648648648649,0.6133633633633634,0.6185247747747749,0.558933933933934
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,internal_oof,10,0.7944237340789064,0.7878999689344517,0.7962100031065549,0.7110515688101895
experiment_04_alice_model,alice_l2_linear,L2 + Linear,alpha,locked_external,10,0.9543378995433789,0.952435312024353,0.9570015220700152,0.6910197869101978
experiment_04_alice_model,alice_l2_linear,L2 + Linear,beta,internal_oof,10,0.6705498602050326,0.6642590866728798,0.6790152221186703,0.6272134203168687
experiment_04_alice_model,alice_l2_linear,L2 + Linear,beta,locked_external,10,0.6368243243243243,0.6302552552552553,0.6474286786786787,0.5822072072072072
experiment_04_alice_model,alice_l2_mlp,L2 + MLP,alpha,internal_oof,10,0.7673190431811121,0.7580382106244176,0.7716293880086984,0.7054597701149425
experiment_04_alice_model,alice_l2_mlp,L2 + MLP,alpha,locked_external,10,0.883751902587519,0.8786149162861492,0.8898401826484019,0.7014840182648402
experiment_04_alice_model,alice_l2_mlp,L2 + MLP,beta,internal_oof,10,0.6241068654861759,0.6184374029201616,0.6343973283628457,0.613583410997204
experiment_04_alice_model,alice_l2_mlp,L2 + MLP,beta,locked_external,10,0.4981231231231232,0.4900525525525526,0.5090090090090089,0.5101351351351351
